"","Scr16.Doxo.1","Scr16.Doxo.2","Scr16.untreated.1","Scr16.untreated.2","Scr13.Doxo.1","Scr13Doxo.2","Scr13.untreated.1","Scr13.untreated.2"
"A1BG",119,25,95,110,115,147,147,203
"NAT2",0,0,0,0,0,0,0,3
"ADA",60,74,78,98,112,165,92,128
"CDH2",1429,1152,1928,1921,1376,1611,1726,2941
"AKT3",80,38,47,49,29,38,41,57
"RNA5-8SN5",0,0,0,0,0,0,0,0
"RNA18SN5",0,0,0,0,0,0,0,0
"RNA28SN5",0,0,0,0,0,0,0,0
"TRY-GTA7-1",0,0,0,0,0,0,0,0
"TRY-GTA5-4",0,0,0,0,0,0,0,0
"TRF-GAA2-1",0,0,0,0,0,0,0,0
"TRF-GAA1-4",0,0,0,0,0,0,0,0
"TRH-GTG1-6",0,0,0,0,0,0,0,0
"LINC02584",0,0,0,0,0,0,0,0
"ZBTB11-AS1",95,21,62,101,72,70,94,104
"MED6",425,239,515,410,417,405,399,643
"NR2E3",0,0,6,7,2,22,11,10
"NAALAD2",202,118,271,355,214,286,275,409
"DUXB",0,0,0,0,0,0,0,0
"SNORD116-1",0,0,2,0,0,0,2,5
"SNORD116-2",0,0,0,0,0,0,1,0
"SNORD116-3",0,0,0,0,0,0,0,0
"SNORD116-4",1,14,23,4,8,9,13,23
"SNORD116-5",0,0,0,0,0,0,0,0
"SNORD116-6",0,0,0,0,0,0,0,0
"SNORD116-7",0,0,0,0,0,0,0,5
"SNORD116-8",0,0,0,0,0,0,1,0
"SNORD116-9",0,0,0,0,0,0,0,0
"SNORD116-10",0,0,0,0,0,0,0,0
"SNORD116-11",0,0,0,0,0,0,0,0
"SNORD116-12",0,0,0,0,0,0,1,6
"SNORD116-13",0,0,0,3,0,0,0,0
"SNORD116-14",0,0,0,0,2,0,0,0
"SNORD116-15",0,0,0,0,0,0,0,0
"SNORD116-16",0,0,0,0,0,0,0,0
"SNORD116-17",0,0,0,0,0,0,0,0
"SNORD116-18",0,0,0,9,0,0,0,0
"SNORD116-20",2,0,6,0,6,0,3,3
"SNORD116-21",0,0,3,3,7,0,5,13
"SNORD116-22",0,0,0,0,4,6,0,0
"SNORD116-23",1,0,0,0,0,0,0,6
"SNORD116-24",0,0,0,0,0,0,1,3
"SNORD116-25",0,0,0,0,0,0,0,0
"SNORD115-2",0,0,0,0,0,0,0,0
"SNORD116-26",0,0,0,0,0,0,0,1
"SNORD116-27",3,0,0,0,4,0,0,0
"SNORD115-3",0,0,0,0,0,0,0,0
"SNORD115-4",0,0,0,0,0,0,0,0
"SNORD115-5",0,0,0,0,0,0,0,0
"SNORD115-6",0,0,0,0,0,0,0,0
"SNORD115-7",0,0,0,0,0,0,0,0
"SNORD115-8",0,0,0,0,0,0,0,0
"SNORD115-9",0,0,0,0,0,0,0,0
"SNORD115-10",0,0,0,0,0,0,0,0
"SNORD115-11",0,0,0,0,0,0,0,0
"SNORD115-12",0,0,0,0,0,0,0,0
"SNORD115-13",0,0,0,0,0,0,0,0
"SNORD115-14",0,0,0,0,0,0,0,0
"SNORD115-15",0,0,0,0,0,0,0,0
"SNORD115-16",0,0,0,0,0,0,0,0
"SNORD115-17",0,0,0,0,0,0,0,0
"SNORD115-18",0,0,0,0,0,0,0,0
"SNORD115-19",0,0,0,0,0,0,0,0
"SNORD115-20",0,0,0,0,0,0,0,0
"SNORD115-21",0,0,0,0,0,0,0,0
"SNORD115-22",0,0,0,0,0,0,0,0
"SNORD115-23",0,0,0,0,0,0,0,0
"SNORD115-25",0,0,0,0,0,0,0,0
"SNORD115-26",0,0,0,0,0,0,0,0
"SNORD115-29",0,0,0,0,0,0,0,0
"SNORD115-30",0,0,0,0,0,0,0,0
"SNORD115-31",0,0,0,0,0,0,0,0
"SNORD115-32",0,0,0,0,0,0,0,0
"SNORD115-33",0,0,0,0,0,0,0,0
"SNORD115-34",0,0,0,0,0,0,0,0
"SNORD115-35",0,0,0,0,0,0,0,0
"SNORD115-36",0,0,0,0,0,0,0,0
"SNORD115-37",0,0,0,0,0,0,0,0
"SNORD115-38",0,0,0,0,0,0,0,0
"SNORD115-39",0,0,0,0,0,0,0,0
"SNORD115-40",0,0,0,0,0,0,0,0
"SNORD115-41",0,0,0,0,0,0,0,0
"SNORD115-42",0,0,0,0,0,0,0,0
"SNORD115-43",0,0,0,0,0,0,0,0
"SNORD115-44",0,0,0,0,0,0,0,0
"MIR675",0,0,0,0,0,0,0,0
"SNORD116-28",0,0,4,0,1,0,4,2
"SNORD116-29",0,0,1,0,0,0,0,0
"SNORD115-48",0,0,0,0,0,0,0,0
"PDZK1P1",0,0,4,1,0,4,3,5
"SNORD115-24",0,0,0,0,0,0,0,0
"SNORD115-27",0,0,0,0,0,0,0,0
"SNORD115-28",0,0,0,0,0,0,0,0
"SNORD115-45",0,0,0,0,0,0,0,0
"SNORD115-47",0,0,0,0,0,0,0,0
"DDTL",0,0,0,0,1,0,1,0
"TLX1NB",0,0,0,0,0,0,0,0
"NAALADL1",0,8,4,8,3,2,6,3
"CDKN2B-AS1",7,2,4,9,4,0,2,8
"GUSBP17",16,29,26,12,17,9,4,9
"SIGLEC14",7,14,0,0,1,14,0,0
"TRK-TTT3-4",0,0,0,0,0,0,0,0
"TRV-CAC1-5",6,0,0,0,0,0,4,0
"NINJ2-AS1",0,0,0,0,0,0,0,0
"ACOT8",178,71,211,227,252,209,231,320
"ABI1",521,373,684,664,519,682,618,1058
"GNPDA1",942,704,1200,892,813,933,1012,1488
"MIMT1",32,34,49,34,35,23,69,72
"KCNE3",0,0,0,0,0,0,0,0
"ZBTB33",619,494,939,830,771,807,921,1412
"SNHG8",661,442,469,446,553,626,461,810
"GTF2IP4",581,348,713,615,589,663,732,935
"GS1-600G8.3",0,0,0,0,0,0,0,0
"CDH3",25,15,25,22,48,52,27,35
"TANK",339,279,333,453,257,501,395,693
"TTTY21B",0,0,0,0,0,0,0,0
"TTTY1B",0,0,0,0,0,0,0,0
"TTTY2B",0,0,0,0,0,0,0,0
"TTTY8B",0,0,0,0,0,0,0,0
"TTTY7B",0,0,0,0,0,0,0,0
"TTTY23B",0,0,0,0,0,0,0,0
"FKBP6P1",6,13,1,6,9,4,0,5
"HAVCR1P1",3,4,0,4,3,1,5,10
"POM121C",3583,2325,3761,2832,3680,3584,3797,4664
"PMS2P7",0,0,3,0,10,5,1,4
"ZSCAN30",292,223,268,400,414,475,428,471
"H2BW3P",9,0,3,1,18,22,8,12
"MCTS2",114,86,214,170,137,102,157,282
"ANKRD26P3",0,0,0,0,0,0,0,0
"SRA1",432,344,494,350,524,367,412,597
"SNORD119",1,0,0,0,0,0,0,0
"SNORD121A",0,0,0,0,0,0,0,3
"SNORD125",0,0,0,0,0,0,0,0
"SNORD19B",0,0,3,0,3,0,2,4
"SNORD105B",0,0,0,0,0,0,0,0
"SNORD123",0,0,0,0,0,0,0,0
"UCKL1-AS1",33,19,31,27,40,60,42,48
"SNORD127",3,0,0,0,0,0,0,0
"SNORD126",0,0,0,0,0,0,0,0
"SNORD11B",0,0,0,0,0,0,1,1
"SNORD12B",0,0,0,0,0,0,1,4
"SNORD111B",0,0,0,0,0,0,0,0
"LIN28B-AS1",7,19,6,4,26,22,0,19
"LINC00583",0,0,0,0,0,0,0,0
"TMEM170B",960,794,1100,1600,1224,1703,1345,1836
"FAM138E",0,0,0,0,0,0,0,0
"SNORD58C",0,7,0,9,1,0,3,10
"SCARNA27",0,0,9,8,0,5,7,0
"SNORA84",0,0,0,0,0,0,0,0
"SNORA36C",0,0,0,0,0,0,0,0
"SNORA38B",0,0,0,0,0,0,1,0
"SNORA70B",0,0,0,0,0,0,0,0
"SNORA70C",0,0,0,0,0,0,0,0
"SNORA11B",0,0,0,0,0,0,0,0
"SNORA11C",0,0,0,0,0,0,0,0
"SNORA11D",0,0,0,0,0,0,0,1
"HOTAIR",0,0,0,0,0,0,0,0
"ZGLP1",32,26,16,15,13,15,35,45
"FAM86JP",59,59,66,40,42,47,38,67
"FMR1-AS1",3,0,0,0,0,0,1,7
"MIR298",1,0,4,0,0,0,0,0
"MIR300",0,0,0,0,0,0,0,0
"VTRNA2-1",0,0,0,0,0,0,0,0
"MIR509-2",0,0,0,0,0,0,0,0
"MIR450B",0,0,0,0,0,0,0,0
"MIR890",0,0,0,0,0,0,0,0
"MIR891B",0,0,0,0,0,0,0,0
"MIR888",0,0,0,0,0,0,0,0
"MIR892B",0,0,0,0,0,0,0,0
"MIR541",0,0,0,0,0,0,0,0
"MIR875",0,0,0,0,0,0,0,0
"MIR876",0,0,0,0,0,0,0,0
"MIR147B",0,0,0,0,0,0,0,0
"MIR744",0,0,0,0,0,0,0,0
"MIR877",0,0,0,0,0,0,0,0
"MIR665",0,0,0,0,0,0,0,0
"MIR873",0,0,0,0,0,0,0,0
"MIR374B",0,0,0,0,0,0,0,0
"MIR301B",0,0,0,0,0,0,0,0
"MIR216B",0,0,0,0,0,0,0,0
"MIR920",0,0,0,0,0,0,0,0
"MIR922",0,0,0,0,0,0,0,0
"MIR924",0,0,0,0,0,0,0,0
"MIR934",0,0,0,0,0,0,0,0
"MIR935",0,0,0,0,0,0,0,0
"MIR936",0,0,0,0,0,0,0,0
"MIR938",0,0,0,0,0,0,0,0
"MIR940",4,0,7,0,4,0,1,0
"MIR941-1",0,0,0,0,0,0,0,0
"MIR941-4",0,0,0,0,0,0,0,0
"MIR942",0,0,0,0,0,0,0,1
"MIR943",0,0,1,3,0,0,0,2
"MIR708",2,0,0,0,0,0,0,0
"MIR885",0,0,0,0,0,0,0,0
"MIR543",0,0,0,0,0,0,0,0
"MIR208B",0,0,0,0,0,0,0,0
"MIR509-3",0,0,0,0,0,0,0,0
"MIR937",0,0,0,0,0,0,0,0
"MIR941-2",0,0,0,0,0,0,0,0
"MIR944",0,0,0,0,0,0,0,0
"MIR891A",0,0,0,0,0,0,0,0
"MIR892A",0,0,0,0,0,0,0,0
"MIR874",0,0,0,0,0,0,0,0
"MIR889",0,0,0,0,0,0,0,0
"MIR190B",0,0,0,0,0,0,0,0
"MIR887",0,0,7,0,0,0,0,0
"MIR760",0,0,0,0,0,10,0,3
"MIR921",0,0,0,0,0,0,0,0
"MIR933",0,0,3,0,0,0,0,0
"MIR939",0,0,0,0,0,0,1,1
"MIR941-3",0,0,0,0,0,0,0,0
"MIR297",0,0,0,0,0,0,0,0
"MIR365A",0,0,0,0,0,0,0,0
"MIR365B",0,0,0,0,0,0,0,0
"LOC100126447",0,0,0,0,0,0,0,0
"LINC00322",0,0,0,0,0,0,0,0
"SNAR-G1",1,0,1,0,0,9,0,0
"SNAR-F",0,0,0,0,3,0,0,0
"LEISA1",452,423,315,263,474,591,301,464
"EGOT",0,0,1,0,0,0,0,0
"GHRLOS",0,0,8,2,0,0,20,8
"SNAR-A1",0,0,0,0,0,0,0,0
"SNAR-A2",0,0,0,0,0,0,0,0
"SNAR-A12",0,0,0,0,0,0,0,0
"MINAR2",0,0,0,0,0,0,0,0
"SLCO4A1-AS1",0,0,0,0,2,0,7,1
"KRT73-AS1",0,0,0,0,0,0,0,0
"C8orf88",124,51,108,87,81,92,129,166
"ARHGAP44-AS1",0,0,0,0,0,0,0,0
"DPPA2P3",0,0,0,0,0,0,0,0
"WWTR1-AS1",0,0,0,0,0,0,0,0
"PLCE1-AS1",0,0,3,0,0,0,0,2
"SMARCA5-AS1",0,7,0,6,0,0,9,1
"FAM229A",49,56,47,34,34,19,26,53
"LOC100128076",11,0,3,4,6,3,9,7
"JAZF1-AS1",0,0,0,0,0,0,2,0
"ST8SIA6-AS1",0,0,0,0,0,0,0,0
"UBE2Q2P13",8,0,11,24,1,23,14,21
"HGC6.3",0,0,0,0,0,0,0,0
"STAU2-AS1",0,0,0,6,4,12,0,6
"ADGRA1-AS1",0,0,0,0,0,0,0,0
"LINC01233",0,0,0,0,0,0,0,0
"FHL1P1",4,1,1,22,3,3,9,4
"UST-AS1",0,0,0,0,0,0,0,0
"TMPO-AS1",127,36,189,130,108,113,165,244
"LINC02324",0,0,0,0,0,0,0,0
"LINC02731",4,14,16,15,13,7,14,44
"ZNF667-AS1",249,93,307,193,246,211,252,375
"HTR5A-AS1",0,0,0,0,0,0,0,0
"DNM1P35",35,8,5,22,46,71,18,25
"LOC100128288",84,81,114,103,69,115,78,141
"DLG5-AS1",0,0,0,0,0,0,0,0
"LOC100128317",0,0,3,0,0,0,0,0
"TRAPPC3L",0,0,0,0,0,0,0,0
"LOC100128361",222,120,184,164,146,265,179,220
"LINC00696",2,10,3,0,0,0,1,7
"FAM225B",0,0,1,0,0,0,0,0
"ZNF606-AS1",41,22,56,42,23,47,50,96
"LINC00892",0,0,0,0,0,0,0,0
"LOC100128494",18,37,32,16,41,81,41,39
"SCP2D1-AS1",0,0,0,0,0,0,0,0
"ASTN2-AS1",2,12,0,0,0,0,0,4
"NEBL-AS1",0,0,2,0,0,0,4,1
"KIAA1671-AS1",9,0,0,1,0,0,4,3
"CTAGE4",0,0,0,0,0,0,0,0
"LINC02347",0,33,6,14,10,0,2,16
"MYHAS",25,25,24,11,2,15,10,12
"RANBP3-DT",0,0,5,5,1,0,6,4
"TEKTIP1",155,56,158,118,152,136,166,258
"SLC8A1-AS1",0,0,8,0,0,0,0,0
"LOC100128593",0,0,0,0,8,0,0,0
"CDC42P3",7,17,10,5,6,2,4,1
"ACVR2B-AS1",85,46,63,36,51,51,59,91
"LOC100128653",12,5,11,18,31,33,11,12
"HPN-AS1",0,0,0,0,0,0,0,3
"LINC01531",0,0,0,0,0,0,0,0
"LINC02346",0,0,0,0,0,0,0,0
"OST4",1521,1080,1880,1244,1316,1566,1639,2191
"RBPMS-AS1",1,0,0,0,0,0,0,0
"LOC100128770",1,0,0,0,0,0,0,0
"ERCC6L2-AS1",339,234,323,368,351,392,354,567
"LINC01349",0,0,0,0,0,0,0,0
"SRRM2-AS1",0,0,0,0,0,0,2,5
"GPR158-AS1",0,0,0,0,0,0,0,0
"LINC01003",159,111,247,141,222,182,231,323
"VPS9D1-AS1",190,122,227,237,151,234,267,337
"LOC100128885",51,44,115,190,95,100,193,144
"FAM66B",6,0,10,1,10,12,5,21
"GATA6-AS1",0,0,0,0,0,0,0,0
"LINC01960",0,0,0,0,0,0,0,0
"ZBTB42",260,133,255,108,193,265,215,300
"LINC01310",0,0,0,0,0,0,0,0
"MAPT-AS1",0,1,0,0,0,6,0,0
"LOC100128993",0,0,0,0,0,0,0,0
"C20orf181",0,0,0,0,9,0,1,0
"PCBP3-AS1",1,0,0,1,5,0,1,9
"LOC100129034",158,73,157,176,175,209,165,258
"BCAR3-AS1",0,0,0,0,0,11,3,0
"CCNYL4",0,0,0,0,2,0,4,1
"LINC03062",0,0,0,0,0,0,0,0
"KTN1-AS1",27,25,30,10,16,24,37,40
"SIGLEC10-AS1",5,0,21,4,3,0,3,2
"BTNL10P",0,10,0,7,3,0,0,2
"LOC100129098",0,0,0,0,0,0,0,0
"KHDC1L",0,0,0,0,0,0,0,4
"LOC100129138",1,0,0,0,0,0,1,0
"LOC100129148",0,0,0,0,0,0,2,0
"LOC100129175",7,6,5,0,3,4,0,18
"ZSCAN16-AS1",73,13,59,51,33,56,59,55
"MATN1-AS1",0,0,8,0,17,0,2,2
"LOC100129203",3,0,0,2,4,4,6,12
"SLC39A12-AS1",0,0,0,0,0,0,0,0
"LOC100129215",33,26,82,45,43,44,40,66
"DEFB131B",11,0,20,11,7,14,5,6
"THCAT155",0,0,0,0,0,0,0,0
"CXorf51A",0,0,0,0,0,0,0,0
"SMIM27",58,17,27,23,60,87,47,85
"LINC01160",1,0,0,0,0,0,2,0
"KPLCE",0,0,0,0,0,0,0,0
"TDRD15",0,0,0,0,0,0,0,0
"LOC100129307",0,0,0,0,0,0,0,0
"LOC100129316",0,0,0,0,0,0,0,0
"LINC02291",0,0,0,0,0,0,0,0
"NRADDP",0,0,0,0,0,0,1,1
"SMIM10L1",0,0,0,0,0,0,0,0
"LINC03041",0,0,0,0,0,0,0,0
"GABPB1-AS1",171,99,170,160,157,156,135,272
"FAM106C",0,2,0,0,0,0,3,0
"MSTO2P",37,24,88,74,62,84,77,80
"FAM236A",0,0,0,0,0,0,0,0
"RPL19P12",10,6,8,16,14,35,29,15
"DDC-AS1",0,0,0,0,0,8,2,0
"LOC100129434",0,0,0,0,0,1,0,0
"DPY19L1P1",45,17,24,23,27,26,30,54
"LYRM4-AS1",53,46,42,26,63,44,67,71
"LINC01546",0,0,0,0,0,0,0,0
"MKRN2OS",3,5,9,18,2,22,13,10
"ZNF37BP",1067,593,1169,1286,1166,1207,1351,1974
"ETDB",0,0,0,0,0,0,0,0
"SOD2-OT1",9,2,40,17,22,24,23,48
"TEX13C",8,0,25,0,16,6,7,36
"MUC8",17,4,0,0,3,0,6,3
"LOC100129534",64,37,131,69,127,96,125,152
"ZNF730",104,110,124,167,119,88,171,271
"LINC02035",142,138,151,135,142,151,210,254
"FAM47E",15,0,13,8,7,11,30,26
"LINC00462",0,0,0,0,0,0,0,0
"LOC100129603",0,0,0,0,0,0,0,0
"LOC100129617",0,0,0,6,2,0,5,0
